person_id,name,department,birthday,deathday,gender,birth_place
35908,Catherine Hiegel,Acting,1946/12/10,,1,"Montreuil, Seine [now Seine-Saint-Denis], France"
9778,Ice Cube,Acting,1969/06/15,,2,"Los Angeles, California, USA "
9781,Nia Long,Acting,1970/10/30,,1,"Brooklyn, New York City, New York, USA"
8396,Tom Lister Jr.,Acting,1958/06/24,,2,"Compton, California, USA"
56902,John Witherspoon,Acting,1942/01/27,,2,"Detroit, Michigan, USA"
1461,George Clooney,Acting,1961/05/06,,2,"Lexington, Kentucky, USA"
138,Quentin Tarantino,Directing,1963/03/27,,2,"Knoxville, Tennessee, USA"
1037,Harvey Keitel,Acting,1939/05/13,,2,"Brooklyn, New York, USA"
3196,Juliette Lewis,Acting,1973/06/21,,1,"Los Angeles, California, USA"
11158,Ernest Liu,Acting,1979/01/01,,0,"Chinatown, San Francisco, California, Stati Uniti"
13021,William Baldwin,Acting,1963/02/21,,2,"Massapequa, New York, U.S"
33665,Cindy Crawford,Acting,1966/02/20,,1,"DeKalb, Illinois, USA"
782,Steven Berkoff,Acting,1937/08/03,,2,"Stepney, East London, England"
4443,Christopher McDonald,Acting,1955/02/15,,2,"New York City, New York, USA"
30488,Miguel Sandoval,Acting,1951/11/16,,2,"Washington, District of Columbia, USA"
52419,Josh Hamilton,Acting,1969/06/09,,2,"New York City, New York, USA "
52930,Carlos Jacott,Acting,1967/07/28,,2,U.S.A
7036,Eric Stoltz,Acting,1961/09/30,,2,"Whittier, California, USA"
78190,Chris Eigeman,Acting,1965/03/01,,2,"Denver, Colorado, USA"
3829,Jean-Paul Belmondo,Acting,1933/04/09,,2,"Neuilly-sur-Seine, Seine [now Hauts-de-Seine], France"
35211,Michel Boujenah,Acting,1952/11/03,,2,"Tunis, Tunisia"
63895,Alessandra Martines,Acting,1963/09/19,,1,"Roma, Italy"
141054,Salomé Lelouch,Acting,1983/06/25,,1," Paris, France"
6014,Annie Girardot,Acting,1931/10/25,,1,"Paris, France"
2224,Christian Slater,Acting,1969/08/18,,2,"New York, New York City, USA"
31140,Mary Stuart Masterson,Acting,1966/06/28,,1,"New York City, New York, USA"
21063,Pamela Adlon,Acting,1966/07/09,,1,"New York City, New York, USA"
16851,Josh Brolin,Acting,1968/02/12,,2,"Santa Monica, Los Angeles, California, USA"
4890,Brian Tarantina,Acting,1959/03/27,,2,"New York City, New York, USA"
8872,Rick Moranis,Acting,1953/04/18,,2,"Toronto, Ontario, Canada"
74036,Tom Arnold,Acting,1959/03/06,,2,"Ottumwa, Iowa, USA"
105962,Julianne Phillips,Acting,1960/05/06,,1,"Chicago, Illinois, USA"
10556,Carol Kane,Acting,1952/06/18,,1,"Cleveland, Ohio, USA"
4175,Jeffrey Tambor,Acting,1944/07/08,,2,"San Francisco, California, USA"
27811,Peter Weller,Acting,1947/06/24,,2,"Stevens Point, Wisconsin, USA"
56977,Roy Dupuis,Acting,1963/04/21,,2,"New Liskeard, Ontario, Canada"
56978,Jennifer Rubin,Acting,1962/04/03,,1,"Phoenix, Arizona, U.S."
56979,Andrew Lauer,Acting,1965/06/19,,2,"Santa Monica, California, USA"
25689,Liliana Komorowska,Acting,1956/04/11,,1,"Gdansk, Pomorskie, Poland"
938895,Nico,Acting,1938/10/16,,1,"Cologne, Germany"
109142,Tina Aumont,Acting,1946/02/14,,1,"Hollywood, California, USA"
582020,Christian Aaron Boulogne,Acting,,,0,
14397,Jackson Browne,Acting,1948/10/09,,2,"Heidelberg, Germany"
7491,John Cale,Sound,1942/03/09,,2,Ammanford - Carmarthen - Wales - UK
514,Jack Nicholson,Acting,1937/04/22,,2,"Manhattan, New York, USA"
5657,Anjelica Huston,Acting,1951/07/08,,1,"Santa Monica, California, USA"
32,Robin Wright,Acting,1966/04/08,,1,"Dallas, Texas, USA"
6721,Piper Laurie,Acting,1932/01/22,,1,"Detroit, Michigan, USA"
3416,Demi Moore,Acting,1962/11/11,,1,"Roswell, New Mexico, US"
7447,Alec Baldwin,Acting,1958/04/03,,2,"Amityville, New York, USA"
24045,Joseph Gordon-Levitt,Acting,1981/02/17,,2,"Los Angeles, California, USA"
8256,Anne Heche,Acting,1969/05/25,,1,"Aurora, Ohio, USA"
4691,James Gandolfini,Acting,1961/09/18,,2,"Westwood, New Jersey, USA"
1034640,Aida Mohammadkhani,Acting,,,0,
1034642,Mohsen Kafili,Acting,,,0,
1034643,Fereshteh Sadr Orafaee,Acting,1962/12/29,,1,Tehran - Iran
1387299,Anna Borkowska,Acting,,,0,
1387300,Mohammad Shahani,Acting,,,0,
1271,Andy García,Acting,1956/04/12,,2,"Havana, Cuba"
1062,Christopher Lloyd,Acting,1938/10/22,,2,"Stamford, Connecticut, USA"
4520,William Forsythe,Acting,1955/06/07,,2,"Bedford-Stuyvesant, Brooklyn, New York, USA"
5502,Bill Nunn,Acting,1953/10/20,,2,"Pittsburgh, Pennsylvania, U.S."
4515,Treat Williams,Acting,1951/12/01,,2,"Rowayton, Connecticut, USA"
