index,mid,person_id
1117,11,12248
1118,9587,1920
1119,9587,17187
1120,9587,6194
1121,9587,205
1122,9587,20767
1123,19101,84093
1124,19101,45453
1125,19101,15498
1126,19101,34407
1127,19101,4938
1128,49980,110077
1129,49980,195410
1130,49980,1168012
1131,49980,1168013
1132,49980,5538
1133,18183,27643
1134,18183,74940
1135,18183,1068840
1136,18183,553167
1137,18183,148189
1138,4476,287
1139,4476,4173
1140,4476,18992
1141,4476,15887
1142,4476,9976
1143,11008,22675
1144,11008,11086
1145,11008,1087342
1146,11008,67786
1147,11008,149010
1148,32325,53764
1149,32325,104380
1150,32325,16429
1151,32325,162524
1152,32325,2576905
1153,43742,6449
1154,43742,516
1155,43742,6598
1156,43742,52865
1157,43742,43476
1158,28313,4431
1159,28313,4587
1160,28313,11064
1161,28313,2231
1162,28313,9777
1163,11318,15788
1164,11318,15735
1165,11318,65
1166,11318,11278
1167,11318,18191
1168,3036,380
1169,3036,11181
1170,3036,3999
1171,3036,1283
1172,3036,18992
1173,40490,28768
1174,40490,54812
1175,40490,53283
1176,40490,66606
1177,40490,147491
1178,24070,67773
1179,24070,29803
1180,24070,26715
1181,24070,57829
1182,24070,3196
1183,8986,29369
1184,8986,228
1185,8986,56486
1186,8986,56890
1187,8986,8256
1188,10510,4786
1189,10510,32597
1190,10510,11717
1191,10510,20
1192,10510,22131
1193,17402,520
1194,17402,3131
1195,17402,12021
1196,17402,6575
1197,17402,7166
1198,38722,587
1199,38722,33181
1200,38722,65344
1201,38722,16866
1202,38722,16429
1203,8438,2224
1204,8438,4724
1205,8438,64
1206,8438,6368
1207,8438,3905
1208,11593,3636
1209,11593,62
1210,11593,29369
1211,11593,5698
1212,11593,21043
1213,1945,1038
1214,1945,3896
1215,1945,20162
1216,1945,20163
1217,1945,20164
1218,39310,122712
1219,39310,49002
1220,39310,11870
1221,39310,18272
1222,39310,18795
1223,109560,74195
1224,109560,23920
1225,109560,23931
1226,109560,26783
1227,109560,43773
1228,56428,13918
1229,56428,51799
1230,56428,20056
1231,56428,137952
1232,56428,18019
1233,131957,1212
1234,131957,38085
1235,131957,80365
1236,131957,5130
1237,131957,26473
1238,241,57755
1239,241,3196
1240,241,3223
1241,241,2176
1242,241,3197
1243,9058,3141
1244,9058,3223
1245,9058,5149
1246,9058,22462
1247,9058,26473
1248,527,7241
1249,527,7242
1250,527,7243
1251,527,7244
1252,527,7245
1253,18220,24967
1254,18220,51670
1255,18220,3982
1256,18220,44049
1257,18220,38670
1258,6950,4483
1259,6950,14343
1260,6950,192
1261,6950,1979
1262,6950,9777
1263,101,1003
1264,101,524
1265,101,64
1266,101,1004
1267,101,1005
1268,63020,3141
1269,63020,658
1270,63020,5657
1271,63020,9046
1272,63020,17187
1273,2307,13021
1274,2307,5723
1275,2307,23764
1276,2307,4250
1277,2307,12647
1278,680,8891
1279,680,2231
1280,680,139
1281,680,62
1282,680,10182
1283,25296,1623
1284,25296,2040625
1285,25296,1570978
1286,25296,113794
1287,25296,1570979
1288,40156,3900
1289,40156,207
1290,40156,18023
1291,40156,61840
1292,40156,80366
1293,11450,1241
1294,11450,52602
1295,11450,5469
1296,11450,13324
1297,11450,19839
1298,30304,16145
1299,30304,1333696
1300,30304,3134
1301,30304,11398
1302,30304,7450
1303,10452,6553
1304,10452,6012
1305,10452,7037
1306,10452,20239
1307,10452,31895
1308,12106,4430
1309,12106,193
1310,12106,934
1311,12106,6193
1312,12106,2144
1313,161495,2314
1314,161495,61962
1315,161495,1231
1316,161495,9560
1317,161495,69415
1318,3586,5676
1319,3586,16757
1320,3586,19162
1321,3586,20710
1322,3586,326
1323,110,1350
1324,110,1352
1325,110,1356
1326,110,1354
1327,110,49025
1328,108,1137
1329,108,1138
1330,108,1139
1331,108,1140
1332,108,1141
1333,109,1145
1334,109,1146
1335,109,1147
1336,109,1148
1337,109,1149
1338,36357,7633
1339,36357,1062
1340,36357,42206
1341,36357,43301
1342,36357,110553
1343,92769,4761
1344,92769,9274
1345,92769,53596
1346,92769,1743
1347,92769,588
1348,28033,65348
1349,28033,1212
1350,28033,7132
1351,28033,28778
1352,28033,1166
1353,22586,3785
1354,22586,88946
1355,22586,9260
1356,22586,58828
1357,22586,8930
1358,14334,144523
1359,14334,33398
1360,14334,96671
1361,14334,28743
1362,14334,1813030
1363,2636,16483
1364,2636,4430
1365,2636,4512
1366,2636,522
1367,2636,21315
1368,2164,6856
1369,2164,13548
1370,2164,228173
1371,2164,22137
1372,2164,22138
1373,11395,12898
1374,11395,777
1375,11395,19957
1376,11395,27564
1377,11395,38582
1378,278,504
1379,278,192
1380,278,4029
1381,278,6573
1382,278,6574
1383,9905,17258
1384,9905,2040
1385,9905,3061
1386,9905,25136
1387,9905,20056
1388,87078,352
1389,87078,98950
1390,87078,25306
1391,87078,58414
1392,87078,85500
1393,12527,64846
1394,12527,72642
1395,12527,72644
1396,12527,72645
1397,12527,1809288
1398,20306,1979
1399,20306,11805
1400,20306,41820
1401,20306,1121
1402,20306,521717
1403,36614,12536
1404,36614,934
1405,36614,15337
1406,36614,96460
1407,36614,115713
1408,27993,40009
1409,27993,99351
1410,27993,36173
1411,27993,63208
1412,27993,17604
1413,31439,76913
1414,31439,643
1415,31439,146044
1416,31439,15170
1417,31439,1417404
1418,9067,15309
1419,9067,21411
1420,9067,3489
1421,9067,56890
1422,9067,54865
1423,9059,1954
1424,9059,6573
1425,9059,9575
1426,9059,32290
1427,9059,30485
1428,193,2387
1429,193,2388
1430,193,1213786
1431,193,2390
1432,193,2391
1433,25066,15864
1434,25066,21246
1435,25066,58563
1436,25066,61153
1437,25066,11804
1438,46797,5293
1439,46797,8436
1440,46797,18998
1441,46797,49965
1442,46797,123209
1443,12122,20006
1444,12122,1796
1445,12122,57166
1446,12122,60650
1447,12122,18706
1448,11381,58198
1449,11381,60950
1450,11381,6197
1451,11381,37995
1452,11381,63681
1453,32636,12900
1454,32636,1231
1455,32636,19511
1456,32636,31649
1457,32636,57351
1458,36141,8212
1459,36141,15675
1460,36141,886
1461,36141,27858
1462,36141,10671
1463,95963,32486
1464,95963,62842
1465,95963,3977
1466,95963,95797
1467,95963,182136
1468,1587,85
1469,1587,6193
1470,1587,3196
1471,1587,2453
1472,1587,17768
1473,9271,5292
1474,9271,934
1475,9271,6473
1476,9271,10402
1477,9271,4520
1478,2064,18277
1479,2064,8984
1480,2064,8212
1481,2064,1039
1482,2064,5251
1483,19855,109
1484,19855,1269
1485,19855,51544
1486,19855,78717
1487,19855,85278
1488,60855,25540
1489,60855,158567
1490,60855,158522
1491,60855,86766
1492,60855,231844
1493,236,3051
1494,236,23
1495,236,3052
1496,236,3053
1497,236,3060
1498,48287,70852
1499,48287,131934
1500,48287,38581
1501,48287,40978
1502,48287,112037
1503,3049,206
1504,3049,586
1505,3049,1223629
1506,3049,14405
1507,3049,31004
1508,2759,1331
