index,mid,country_id
1638,489,US
1639,9714,US
1640,8197,US
1641,6283,US
1642,4233,US
1643,191874,US
1644,191874,CA
1645,10217,CA
1646,597,US
1647,714,GB
1648,714,US
1649,9922,US
1650,547,US
1651,184,US
1652,9746,MA
1653,9746,US
1654,9438,US
1655,115,GB
1656,115,US
1657,26941,US
1658,27103,BE
1659,27103,FR
1660,9410,US
1661,32302,US
1662,12538,US
1663,586,US
1664,2666,AU
1665,2666,US
1666,11258,DK
1667,11258,FR
1668,11258,NZ
1669,9490,US
1670,9411,US
1671,25719,GB
1672,11220,HK
1673,21253,BR
1674,6116,GB
1675,9457,CA
1676,9457,US
1677,39424,US
1678,11702,US
1679,2923,GB
1680,2923,US
1681,12238,IT
1682,12238,US
1683,11568,US
1684,11003,US
1685,10153,US
1686,30949,DE
1687,30949,US
1688,2898,US
1689,9558,IT
1690,9558,GB
1691,9558,US
1692,26269,US
1693,11808,US
1694,6970,AU
1695,47452,CA
1696,47452,GB
1697,21736,US
1698,17941,US
1699,10668,US
1700,9313,GB
1701,9313,US
1702,42807,US
1703,617,US
1704,36568,US
1705,37272,US
1706,5910,JP
1707,9440,FR
1708,9440,DE
1709,9440,JP
1710,32911,US
1711,32456,US
1712,17127,US
1713,17133,US
1714,19848,US
1715,17644,US
1716,1774,GB
1717,1774,US
1718,30265,FR
1719,30265,HK
1720,30265,JP
1721,2157,US
1722,8838,US
1723,29193,US
1724,795,US
1725,795,DE
1726,16980,US
1727,27472,US
1728,47881,
1729,9469,US
1730,12488,US
1731,267,FR
1732,267,ES
1733,16148,US
1734,9449,GB
1735,9449,US
1736,31220,US
1737,13907,US
1738,29825,US
1739,10622,HK
1740,30020,FR
1741,30020,IR
1742,17139,BE
1743,17139,NL
1744,10216,US
1745,9771,US
1746,9448,US
1747,38618,AU
1748,38618,DE
1749,38618,US
1750,78373,US
1751,4415,US
1752,55561,
1753,8656,US
1754,18937,US
1755,929,US
1756,9452,US
1757,1878,US
1758,9844,US
1759,14342,US
1760,9715,US
1761,26610,NO
1762,40961,NZ
1763,1965,US
1764,312,DE
1765,6068,US
1766,15037,US
1767,37636,US
1768,21334,IR
1769,32284,US
1770,37410,US
1771,53765,US
1772,10674,US
1773,846,CA
1774,846,US
1775,12655,GB
1776,12655,US
1777,12655,IE
1778,3050,US
1779,1389,US
1780,11020,AU
1781,20862,CA
1782,20862,US
1783,9464,US
1784,9464,CA
1785,95,US
1786,944,US
1787,35680,FR
1788,35680,US
1789,11551,US
1790,473,US
1791,102304,US
1792,544,US
1793,10513,US
1794,65203,US
1795,143,US
1796,42861,US
1797,33680,US
1798,12311,US
1799,43277,US
1800,43278,US
1801,34106,US
1802,27367,US
1803,17661,US
1804,28580,US
1805,887,US
1806,33667,US
